rc_short,rc_long,prefix,name,city,country,region_continent,website,link
ams,route-collector.ams.pch.net, 80.249.208.0/21, AMS-IX,Amsterdam,NL,Europe,http://www.ams-ix.net/,https://www.peeringdb.com/ix/26
amsix-ord,route-collector.amsix-ord.pch.net, 206.108.115.0/24, AMS-IX Chicago,Chicago,US,North America,https://chi.ams-ix.net,https://www.peeringdb.com/ix/944
amsix-sfo,route-collector.amsix-sfo.pch.net, 206.41.106.0/24, AMS-IX BA,San Francisco/San Jose,US,North America,http://bay.ams-ix.net,https://www.peeringdb.com/ix/935
atl,route-collector.atl.pch.net, 198.32.132.0/24, Digital Realty | Telx Atlanta,Atlanta,US,North America,http://ix.digitalrealty.com,https://www.peeringdb.com/ix/22
ber,route-collector.ber.pch.net, 193.178.185.0/24, BCIX,Berlin,DE,Europe,http://www.bcix.de/,https://www.peeringdb.com/ix/87
bos,route-collector.bos.pch.net, 206.108.236.0/24, Boston Internet Exchange,Boston/Massachusetts,US,North America,http://www.bostonix.net/,https://www.peeringdb.com/ix/565
bur,route-collector.bur.pch.net, 206.223.123.0/24, Equinix Los Angeles,Los Angeles,US,North America,https://ix.equinix.com,https://www.peeringdb.com/ix/4
cai,route-collector.cai.pch.net, 81.21.96.0/24, CAIX,Cairo,EG,Middle East,http://www.caix.net.eg/,https://www.peeringdb.com/ix/274
cdg,route-collector.cdg.pch.net, 37.49.236.0/23, France-IX,Paris,FR,Europe,https://www.franceix.net,https://www.peeringdb.com/ix/359
coo,route-collector.coo.pch.net, 196.223.40.0/24, BENIN-IX,Cotonou,BJ,Africa,http://www.benin-ix.org.bj,https://www.peeringdb.com/ix/1017
cpt,route-collector.cpt.pch.net, 196.223.22.0/24, CINX,Cape Town,ZA,Africa,http://wiki.inx.net.za/,https://www.peeringdb.com/ix/344
dar,route-collector.dar.pch.net, 196.223.5.0/24, TIX - Tanzania,Dar es Salaam,TZ,Africa,http://tix.or.tz/,https://www.peeringdb.com/ix/361
decix-ny,route-collector.decix-ny.pch.net, 206.130.10.0/24, DE-CIX New York,New York / New Jersey,US,North America,https://www.de-cix.net/locations/united-states/new-york,https://www.peeringdb.com/ix/804
